Ano,Trimestre,Categoria,Tipo,CNPJ,Instituição financeira,Índice,Quantidade de reclamações reguladas procedentes,Quantidade de reclamações reguladas - outras,Quantidade de reclamações não reguladas,Quantidade total de reclamações,quantidade_total_clientes_ccs_scr,quantidade_clientes_ccs,quantidade_clientes_scr,Unnamed: 14
2021,3º,Demais bancos e financeiras,Banco/financeira,78632767.0,BANCO OURINVEST S.A., ,5,2,0,7,50060,47319,2771,
2021,3º,Demais bancos e financeiras,Banco/financeira,61820817.0,BANCO PAULISTA S.A., ,1,0,2,3,28238,7793,20692,
2021,3º,Demais bancos e financeiras,Banco/financeira,795423.0,BANCO SEMEAR S.A., ,2,2,0,4,270979,3638,267795,
2021,3º,Demais bancos e financeiras,Banco/financeira,11970623.0,BANCO SENFF S.A., ,1,4,1,6,109166,40042,70102,
2021,3º,Demais bancos e financeiras,Banco/financeira,7679404.0,BANCO TOPÁZIO S.A., ,4,5,2,11,43686,15291,30304,
2021,3º,Demais bancos e financeiras,Banco/financeira,3215790.0,BANCO TOYOTA DO BRASIL S.A., ,1,4,3,8,155981,15264,141643,
2021,3º,Demais bancos e financeiras,Banco/financeira,17351180.0,BANCO TRIANGULO S.A., ,10,15,6,31,2025332,439855,1847196,
2021,3º,Demais bancos e financeiras,Banco/financeira,45283173.0,BBVA BRASIL BANCO DE INVESTIMENTO S.A., ,0,0,1,1,0,0,0,
2021,3º,Demais bancos e financeiras,Banco/financeira,11285104.0,"BIORC FINANCEIRA - CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.", ,0,0,1,1,18321,251,18070,
2021,3º,Demais bancos e financeiras,Banco/financeira,12865507.0,"BRK S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,0,0,1,1,6482,715,5970,
2021,3º,Demais bancos e financeiras,Banco/financeira,9313766.0,"CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,2,2,3,7,76719,70930,16272,
2021,3º,Demais bancos e financeiras,Banco/financeira,15581638.0,FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO,"458,43",131,272,25,428,285752,681,285077,
2021,3º,Demais bancos e financeiras,Banco/financeira,36583700.0,"FC FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,1,1,0,2,11153, ,11153,
2021,3º,Demais bancos e financeiras,Banco/financeira,411939.0,"FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO", ,0,1,4,5,85526,1653,83930,
2021,3º,Demais bancos e financeiras,Banco/financeira,17453575.0,ICBC DO BRASIL BANCO MÚLTIPLO S.A., ,0,1,0,1,187,175,24,
2021,3º,Demais bancos e financeiras,Banco/financeira,4230630.0,"JBCRED S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO", ,0,6,1,7,52001, ,52001,
2021,3º,Demais bancos e financeiras,Banco/financeira,11271860.0,"LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,1,2,0,3,249991,4,249987,
2021,3º,Demais bancos e financeiras,Banco/financeira,7747410.0,M PAGAMENTOS S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO, ,3,6,5,14,626141, ,626141,
